80.0	3.681013132713683e-25
88.0	4.454025890583555e-25
96.0	5.300658911107703e-25
104.0	6.220912194286123e-25
112.0	7.214785740118817e-25
120.00000000000001	8.282279548605784e-25
120.00000000000001	6.47350795254106e-25
132.0	7.832944622574683e-25
144.0	9.321851451659128e-25
156.0	1.0940228439794391e-24
168.0	1.2688075586980477e-24
180.0	1.4565392893217384e-24
180.0	9.184030228510468e-25
198.0	1.111267657649767e-24
216.0	1.3225003529055075e-24
234.00000000000003	1.5521011086182696e-24
252.00000000000003	1.800069924788052e-24
270.0	2.0664068014148557e-24
270.0	1.0239378592937233e-24
297.0	1.238964809745405e-24
324.0	1.4744705173829619e-24
351.0	1.7304549822063923e-24
378.0	2.006918204215698e-24
405.0	2.303860183410877e-24
405.0	1.144421366422911e-24
445.5	1.3847498533717226e-24
486.00000000000006	1.6479667676489922e-24
526.5	1.93407210925472e-24
567.0	2.2430658781889064e-24
607.5	2.5749480744515502e-24
607.5	2.2087142833657822e-24
658.125	2.5921716242278973e-24
708.75	3.0063055523589814e-24
759.375	3.451116067759035e-24
810.0	3.926603170428057e-24
860.625	4.432766860366049e-24
911.25	4.96960713757301e-24
911.25	3.527302145446021e-24
987.1875000000001	4.13968099014151e-24
1063.125	4.80105014241264e-24
1139.0625	5.511409602259406e-24
1215.0	6.2707593696818145e-24
1290.9375	7.07909944467986e-24
1366.875	7.936429827253546e-24
